URL,category,podcast
https://www.artofmanliness.com/health-fitness/health/podcast-708-overcoming-the-comfort-crisis/,health-fitness,True
https://www.artofmanliness.com/health-fitness/health/soft-suburban-dad-syndrome/,health-fitness,False
https://www.artofmanliness.com/health-fitness/health/just-go-to-sleep/,health-fitness,False
https://www.artofmanliness.com/health-fitness/program-review/its-tactical-muster-review/,health-fitness,False
https://www.artofmanliness.com/health-fitness/program-review/a-review-of-the-tough-mudder-by-a-curmudgeonly-55-year-old-vermonter/,health-fitness,False
https://www.artofmanliness.com/health-fitness/program-review/the-goruck-challenge-a-review/,health-fitness,False
https://www.artofmanliness.com/health-fitness/program-review/get-bigger-stronger-with-strongliftscom/,health-fitness,False
https://www.artofmanliness.com/people/relationships/is-the-7-year-itch-real/,people,False
https://www.artofmanliness.com/people/relationships/sunday-firesides-climb-the-ladder-of-love/,people,False
https://www.artofmanliness.com/people/social-skills/9-mental-distortions-that-are-sabotaging-your-social-life/,people,False
https://www.artofmanliness.com/people/relationships/podcast-865-how-to-win-friends-and-influence-people-in-the-21st-century/,people,True
https://www.artofmanliness.com/people/relationships/podcast-863-key-insights-from-the-longest-study-on-happiness/,people,True
https://www.artofmanliness.com/people/relationships/sunday-firesides-everyones-just-trying-to-make-it-in-the-world/,people,False
https://www.artofmanliness.com/people/social-skills/how-to-calm-someone-down/,people,False
https://www.artofmanliness.com/people/family/sunday-firesides-give-them-the-cream/,people,False
https://www.artofmanliness.com/people/family/the-best-internet-filter-for-kids/,people,False
https://www.artofmanliness.com/people/family/sunday-firesides-the-secure-base-philosophy-of-parenting/,people,False
https://www.artofmanliness.com/people/family/nietzsches-surprisingly-sound-advice-on-choosing-a-spouse/,people,False
https://www.artofmanliness.com/people/family/how-a-man-handles-a-miscarriage/,people,False
https://www.artofmanliness.com/people/family/secret-happy-successful-marriage-treating-like-bank-account/,people,False
https://www.artofmanliness.com/people/family/how-to-parent-teen-boys/,people,False
https://www.artofmanliness.com/people/family/how-to-tell-awesome-stories-to-your-kids/,people,False
https://www.artofmanliness.com/people/family/23-dangerous-things-let-kids/,people,False
https://www.artofmanliness.com/people/family/podcast-611-how-a-weekly-marriage-meeting-can-strengthen-your-relationship/,people,True
https://www.artofmanliness.com/people/family/podcast-609-the-3-tasks-of-moving-from-adolescence-to-adulthood/,people,True
https://www.artofmanliness.com/people/family/sunday-firesides-marriage-is-more-than-a-piece-of-paper/,people,False
https://www.artofmanliness.com/people/family/the-54-best-jokes-for-kids-of-all-ages/,people,False
https://www.artofmanliness.com/people/family/podcast-555-dandelion-children-vs-orchid-children/,people,True
https://www.artofmanliness.com/people/fatherhood/the-ultimate-collection-of-quotes-about-fatherhood/,people,False
https://www.artofmanliness.com/people/fatherhood/the-importance-of-fathers-according-to-science/,people,False
https://www.artofmanliness.com/people/fatherhood/how-to-turn-a-boy-into-a-man/,people,False
https://www.artofmanliness.com/people/fatherhood/how-to-raise-a-reader/,people,False
https://www.artofmanliness.com/people/fatherhood/podcast-749-let-the-children-play/,people,True
https://www.artofmanliness.com/people/fatherhood/9-ways-to-entertain-your-toddler-without-using-a-smartphone/,people,False
https://www.artofmanliness.com/people/fatherhood/podcast-717-the-fraught-relatable-relationship-between-winston-churchill-and-his-son/,people,True
https://www.artofmanliness.com/people/fatherhood/a-brief-history-of-fathers-day/,people,False
https://www.artofmanliness.com/people/fatherhood/5-great-podcasts-for-kids-that-are-enjoyable-for-parents-too/,people,True
https://www.artofmanliness.com/people/fatherhood/why-fathers-shouldnt-initiate-their-sons-into-manhood/,people,False
https://www.artofmanliness.com/people/fatherhood/24-better-questions-to-ask-kids-about-how-their-day-went/,people,False
https://www.artofmanliness.com/people/fatherhood/podcast-532-how-to-create-a-neighborhood-where-kids-play-outside/,people,True
https://www.artofmanliness.com/people/fatherhood/how-to-be-a-better-dad-when-you-travel-for-business/,people,False
https://www.artofmanliness.com/people/fatherhood/4-recommended-books-for-soon-to-be-and-new-dads/,people,False
https://www.artofmanliness.com/people/relationships/podcast-850-the-infidelity-formula/,people,True
https://www.artofmanliness.com/people/relationships/80-of-success-in-relationships-is-showing-up/,people,False
https://www.artofmanliness.com/people/relationships/a-celebration-of-the-ideal-bachelor-from-1906/,people,False
https://www.artofmanliness.com/people/relationships/plays-well-with-others-podcast/,people,True
https://www.artofmanliness.com/people/relationships/5-allies-every-man-needs-podcast/,people,True
https://www.artofmanliness.com/people/relationships/podcast-799-getting-along-is-overrated/,people,True
https://www.artofmanliness.com/people/relationships/sunday-firesides-the-non-technologized-children-shall-inherit-the-earth/,people,False
https://www.artofmanliness.com/people/social-skills/podcast-837-the-cues-that-make-you-charismatic/,people,True
https://www.artofmanliness.com/people/social-skills/stress-free-small-talk-podcast/,people,True
https://www.artofmanliness.com/people/social-skills/how-to-comfort-someone-whos-sad-crying/,people,False
https://www.artofmanliness.com/people/social-skills/a-better-way-to-say-no/,people,False
https://www.artofmanliness.com/people/social-skills/the-3-elements-of-charisma-presence/,people,False
https://www.artofmanliness.com/people/social-skills/3-things-no-one-ever-told-you-about-making-friends-in-adulthood/,people,False
https://www.artofmanliness.com/people/social-skills/how-to-end-a-conversation/,people,False
https://www.artofmanliness.com/people/social-skills/podcast-742-the-power-of-strangers/,people,True
https://www.artofmanliness.com/people/social-skills/tame-timing-anxiety-texting/,people,False
https://www.artofmanliness.com/people/social-skills/improve-your-conversation-skills/,people,False
https://www.artofmanliness.com/people/social-skills/why-we-like-some-people-and-dont-like-others/,people,False
https://www.artofmanliness.com/people/social-skills/sunday-firesides-want-to-solve-your-social-problems-get-over-your-self/,people,False
https://www.artofmanliness.com/people/social-skills/never-ask-these-5-questions/,people,False
https://www.artofmanliness.com/people/social-skills/human-hacking-social-engineering/,people,False
https://www.artofmanliness.com/skills/outdoor-survival/how-to-measure-remaining-sunlight-with-your-hands/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/how-to-escape-a-rip-current/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/podcast-907-how-to-read-a-tree/,skills,True
https://www.artofmanliness.com/skills/outdoor-survival/how-to-make-a-torch-an-illustrated-guide/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/how-to-survive-a-mountain-lion-encounter/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/podcast-902-how-to-survive-any-worst-case-scenario/,skills,True
https://www.artofmanliness.com/skills/outdoor-survival/what-drowning-really-looks-like/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-to-gird-up-your-loins-an-illustrated-guide/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-take-out-a-sentry/,skills,False
https://www.artofmanliness.com/skills/how-to/how-shuffle-a-deck-of-cards-an-illustrated-guide/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-break-down-a-door-an-illustrated-guide/,skills,False
https://www.artofmanliness.com/skills/how-to/the-best-way-to-shovel-snow/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-make-the-perfect-snowball-an-illustrated-guide/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-perform-a-three-point-turn/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-patch-a-bicycle-inner-tube/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-clean-out-your-dryer-vent/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-sharpen-a-pocket-knife-an-illustrated-guide/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-fell-a-tree-2/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-do-the-zippo-snap/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-handle-a-hammer/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-make-the-worlds-best-paper-airplanes/,skills,False
https://www.artofmanliness.com/skills/how-to/renting-your-first-apartment/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-find-studs-in-a-wall/,skills,False
https://www.artofmanliness.com/skills/how-to/how-to-fold-a-dress-shirt-for-packing/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-to-get-your-car-unstuck-from-anything-an-illustrated-guide/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-to-walk-like-a-ninja/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-to-perform-a-j-turn/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/3-ways-climb-rope/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-to-change-flat-tire/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-to-shuffle-poker-chips/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-to-protect-your-car-when-you-park-it-outside/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-not-to-use-a-crescent-wrench/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-to-inspect-maintain-tires/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/11-auto-maintenance-jobs-every-man-can-do-himself/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/the-basic-dance-step-every-man-should-know/,skills,False
https://www.artofmanliness.com/skills/manly-know-how/how-to-ram-through-a-vehicular-roadblock/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/how-to-start-a-fire-in-the-rain-an-illustrated-guide/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/how-to-remove-a-fish-hook-from-your-finger/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/podcast-883-the-naturalists-art-of-animal-encounters/,skills,True
https://www.artofmanliness.com/skills/outdoor-survival/how-to-survive-a-dog-attack/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/pistol-marksmanship-how-to-fix-4-common-trigger-mistakes/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/podcast-869-the-survival-myths-that-can-get-you-killed/,skills,True
https://www.artofmanliness.com/skills/outdoor-survival/how-to-survive-falling-through-the-ice-an-illustrated-guide/,skills,False
https://www.artofmanliness.com/skills/outdoor-survival/podcast-848-the-5-priorities-of-short-term-survival/,skills,True
https://www.artofmanliness.com/skills/outdoor-survival/how-to-survive-a-flash-flood/,skills,False
https://www.artofmanliness.com/style/outfit-guide/your-first-style-steps-beyond-jeans-t-shirts-and-tennis-shoes/,style,False
https://www.artofmanliness.com/character/manly-lessons/develop-savoir-faire-james-bond/,character,False
https://www.artofmanliness.com/style/clothing/the-art-of-manliness-suit-school-part-ii-the-alterations-every-man-needs/,style,False
